;% Valores no estandarizados;;% Valores no estandarizados;
added-salt_100g;0.00021627460200838777;added-salt_100g;0.0;
sodium_100g;4.310939849089762;sodium_100g;1.0520214569122288;
alcohol_100g;0.08873437956686994;alcohol_100g;0.19087778445825992;
vitamin-a_100g;0.8548717089957257;vitamin-a_100g;0.4944964293063209;
beta-carotene_100g;0.0006179274343096793;beta-carotene_100g;0.00043254920401677554;
vitamin-d_100g;0.12713856960921652;vitamin-d_100g;0.045232288191468524;
vitamin-e_100g;0.017023900815231665;vitamin-e_100g;0.005870310625941954;
vitamin-k_100g;0.008094849389456798;vitamin-k_100g;0.004294595668452271;
vitamin-c_100g;1.187872803345212;vitamin-c_100g;1.0566250162978361;
vitamin-b1_100g;0.07535625061406538;vitamin-b1_100g;0.0;
vitamin-b2_100g;0.08267869071063509;vitamin-b2_100g;0.08277137982578155;
vitamin-pp_100g;0.05941372280887566;vitamin-pp_100g;0.05039198226795434;
vitamin-b6_100g;0.04844551084987886;vitamin-b6_100g;0.007229750981423247;
vitamin-b9_100g;0.02759045994192718;vitamin-b9_100g;0.01013400992267874;
folates_100g;0.015479082229457467;folates_100g;0.0007106165494561312;
vitamin-b12_100g;0.05542809085757823;vitamin-b12_100g;0.009083533284352284;
biotin_100g;0.008620087708620026;biotin_100g;0.002317227878661297;
pantothenic-acid_100g;0.022492558608872327;pantothenic-acid_100g;0.007198854609707764;
silica_100g;0.0015139222140587143;silica_100g;0.0007415129211716152;
bicarbonate_100g;0.005932103369372921;bicarbonate_100g;0.0011740621251883907;
potassium_100g;0.309118199013417;potassium_100g;0.13134047616252234;
chloride_100g;0.007415129211716152;chloride_100g;0.004603559385607111;
calcium_100g;0.7255703933664254;calcium_100g;0.18259755683851023;
phosphorus_100g;0.022492558608872327;phosphorus_100g;0.004541766642176142;
iron_100g;0.48340463186046206;iron_100g;0.08901244691230929;
magnesium_100g;0.031143542689207836;magnesium_100g;0.01575714957489682;
zinc_100g;0.031267128176069775;zinc_100g;0.015942527805189725;
copper_100g;0.005962999741088405;copper_100g;0.0003089637171548396;
manganese_100g;0.007600507442009055;manganese_100g;0.0;
fluoride_100g;0.00358397911899614;fluoride_100g;0.0013594403554812945;
selenium_100g;0.008898155054059382;selenium_100g;0.004788937615900014;
chromium_100g;0.0020082641615064576;chromium_100g;0.0011431657534729067;
molybdenum_100g;0.002935155312970977;molybdenum_100g;0.0006488238060251633;
iodine_100g;0.01705479718694715;iodine_100g;0.0063028598299587285;
caffeine_100g;0.008774569567197446;caffeine_100g;0.004510870270460659;
taurine_100g;0.0010813730100419387;taurine_100g;0.0;
ph_100g;0.0015448185857741983;ph_100g;0.0;
fruits-vegetables-nuts_100g;0.0;fruits-vegetables-nuts_100g;0.0;
fruits-vegetables-nuts-dried_100g;0.00803305664602583;fruits-vegetables-nuts-dried_100g;0.001761093187782586;
fruits-vegetables-nuts-estimate_100g;3.0896371715483965e-05;fruits-vegetables-nuts-estimate_100g;0.0;
fruits-vegetables-nuts-estimate-from-ingredients_100g;4.827681666031231;fruits-vegetables-nuts-estimate-from-ingredients_100g;3.6954532281456056;
collagen-meat-protein-ratio_100g;0.000895994779749035;collagen-meat-protein-ratio_100g;0.0;
cocoa_100g;0.0;cocoa_100g;0.0;
chlorophyl_100g;3.0896371715483965e-05;chlorophyl_100g;0.0;
carbon-footprint_100g;0.0015139222140587143;carbon-footprint_100g;0.0005870310625941954;
carbon-footprint-from-meat-or-fish_100g;0.03494379641021236;carbon-footprint-from-meat-or-fish_100g;0.0021936423917993616;
nutrition-score-fr_100g;0.001761093187782586;nutrition-score-fr_100g;0.0;
nutrition-score-uk_100g;0.0;nutrition-score-uk_100g;0.0;
glycemic-index_100g;0.0;glycemic-index_100g;0.0;
water-hardness_100g;6.179274343096793e-05;water-hardness_100g;0.0;
choline_100g;0.0004634455757322595;choline_100g;9.26891151464519e-05;
phylloquinone_100g;0.006920787264268409;phylloquinone_100g;0.003522186375565172;
beta-glucan_100g;6.179274343096793e-05;beta-glucan_100g;0.0;
inositol_100g;0.0002471709737238717;inositol_100g;0.00012358548686193586;
carnitine_100g;0.0002471709737238717;carnitine_100g;0.0;
sulphate_100g;0.00040165283230129154;sulphate_100g;0.0004943419474477434;
nitrate_100g;0.0004943419474477434;nitrate_100g;0.0002780673454393557;
acidity_100g;3.0896371715483965e-05;acidity_100g;0.0;
